PracticeFile,TrainingFile,TestFile,StimFile,audioStim,imageDescription,correct,imageStim,predicate,AS_tone,sentence,AS,AS_gloss,prompt,condition,question_gloss,predicate_gloss,question,sentence_gloss,OComp,speaker,OComp_gloss,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_M4.wav,,p,sleep_M4.PNG,zü,M4,akhi no zü ani,akhi,bee,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The bee is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,10,10,10,,,,,,,,,p,1,0.786669477,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_chase_L4.wav,,p,chase_L4.PNG,ha,L4,ane no awo ha cheni,ane,goat,[W] Ku shi ani kea?; [P] Khu no ha cheni?,broad,What's happening?,chasing,Ku shi ani kea?,The goat is chasing the pig.,awo,1,pig,0,0,0,0,,,,,,,,,,,,,0,11,11,11,,,,,,,,,p,1,0.503285338,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_chase_H4.wav,,w,chase_H4.PNG,ha,H4,apighi no amishi ha cheni,apighi,snake,[W] Ku shi ani kea?; [P] Khu no ha cheni?,narrow,What's chasing (the animal)?,chasing,Khu no ha cheni?,The snake is chasing the cow.,amishi,1,cow,0,0,0,0,,,,,,,,,,,,,0,12,12,12,,,,,,,,,p,0,0.752246686,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_chase_M4.wav,,p,chase_M4.PNG,ha,M4,akhi no ami ha cheni,akhi,bee,[W] Ku shi ani kea?; [P] Khu no ha cheni?,broad,What's happening?,chasing,Ku shi ani kea?,The bee is chasing the mosquito.,ami,1,mosquito,0,0,0,0,,,,,,,,,,,,,0,13,13,13,,,,,,,,,p,1,0.885655242,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_H4.wav,,w,sleep_H4.PNG,zü,H4,apighi no zü ani,apighi,snake,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The snake is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,14,14,14,,,,,,,,,p,0,0.569423382,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_L2.wav,,w,sleep_L2.PNG,zü,L2,atsü no zü ani,atsü,dog,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The dog is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,15,15,15,,,,,,,,,p,0,0.602191424,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_M1.wav,,p,sleep_M1.PNG,zü,M1,avi no zü ani,avi,mithun,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The mithun is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,16,16,16,,,,,,,,,p,1,0.719532105,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_chase_L1.wav,,p,chase_L1.PNG,ha,L1,awo no awudu ha cheni,awo,pig,[W] Ku shi ani kea?; [P] Khu no ha cheni?,broad,What's happening?,chasing,Ku shi ani kea?,The pig is chasing the rooster.,awudu,1,rooster,0,0,0,0,,,,,,,,,,,,,0,17,17,17,,,,,,,,,p,1,0.901624934,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_chase_L4.wav,,w,chase_L4.PNG,ha,L4,ane no awo ha cheni,ane,goat,[W] Ku shi ani kea?; [P] Khu no ha cheni?,narrow,What's chasing (the animal)?,chasing,Khu no ha cheni?,The goat is chasing the pig.,awo,1,pig,0,0,0,0,,,,,,,,,,,,,0,18,18,18,,,,,,,,,w,1,2.320384412,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_H4.wav,,p,sleep_H4.PNG,zü,H4,apighi no zü ani,apighi,snake,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The snake is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,19,19,19,,,,,,,,,p,1,2.120256925,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_chase_L3.wav,,p,chase_L3.PNG,ha,L3,amishi no ane ha cheni,amishi,cow,[W] Ku shi ani kea?; [P] Khu no ha cheni?,broad,What's happening?,chasing,Ku shi ani kea?,The cow is chasing the goat.,ane,1,goat,0,0,0,0,,,,,,,,,,,,,0,20,20,20,,,,,,,,,p,1,3.020665087,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_H2.wav,,p,sleep_H2.PNG,zü,H2,akuhu no zü ani,akuhu,gibbon,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The gibbon is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,21,21,21,,,,,,,,,p,1,0.919490981,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_H3.wav,,p,sleep_H3.PNG,zü,H3,awudu no zü ani,awudu,rooster,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The rooster is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,22,22,22,,,,,,,,,p,1,0.31898155,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_M2.wav,,w,sleep_M2.PNG,zü,M2,ava no zü ani,ava,bear,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The bear is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,23,23,23,,,,,,,,,p,0,0.685677347,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_M4.wav,,w,sleep_M4.PNG,zü,M4,akhi no zü ani,akhi,bee,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The bee is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,24,24,24,,,,,,,,,p,0,0.335747516,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_chase_H2.wav,,p,chase_H2.PNG,ha,H2,akuhu no awo ha cheni,akuhu,gibbon,[W] Ku shi ani kea?; [P] Khu no ha cheni?,broad,What's happening?,chasing,Ku shi ani kea?,The gibbon is chasing the pig.,awo,1,pig,0,0,0,0,,,,,,,,,,,,,0,25,25,25,,,,,,,,,p,1,1.136010713,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_M3.wav,,w,sleep_M3.PNG,zü,M3,ashe no zü ani,ashe,deer,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The deer is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,26,26,26,,,,,,,,,p,0,1.185178198,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_L3.wav,,w,sleep_L3.PNG,zü,L3,amishi no zü ani,amishi,cow,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The cow is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,27,27,27,,,,,,,,,p,0,0.368997229,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_H1.wav,,w,sleep_H1.PNG,zü,H1,ami no zü ani,ami,mosquito,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The mosquito is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,28,28,28,,,,,,,,,p,0,0.802637112,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_chase_H3.wav,,w,chase_H3.PNG,ha,H3,awudu no agha ha cheni,awudu,rooster,[W] Ku shi ani kea?; [P] Khu no ha cheni?,narrow,What's chasing (the animal)?,chasing,Khu no ha cheni?,The rooster is chasing the crow.,agha,1,crow,0,0,0,0,,,,,,,,,,,,,0,29,29,29,,,,,,,,,w,1,0.502215585,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_H2.wav,,w,sleep_H2.PNG,zü,H2,akuhu no zü ani,akuhu,gibbon,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The gibbon is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,30,30,30,,,,,,,,,p,0,0.45078882,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
